data_type,structure_category,tree_category,time_category,prediction_category,size,Kendall [c],Kendall [p],Spearman [c],Spearman [p]
test,all,all,medium,underestimated,672,0.302±0.033,0.782±0.044,0.430±0.046,0.897±0.040
test,all,all,medium,overestimated,566,0.069±0.061,0.813±0.039,0.078±0.078,0.899±0.046
test,all,all,big,all,1988,0.148±0.000,0.895±0.011,0.195±0.000,0.967±0.010
test,all,all,big,underestimated,1109,0.273±0.023,0.844±0.022,0.390±0.035,0.938±0.019
test,all,all,big,overestimated,878,0.008±0.008,0.951±0.015,-0.039±0.016,0.991±0.006
test,all,seen,all,all,4032,0.066±0.014,0.886±0.010,0.083±0.020,0.970±0.006
test,all,seen,all,underestimated,1584,0.089±0.035,0.942±0.007,0.107±0.052,0.993±0.002
test,all,seen,all,overestimated,2448,0.068±0.018,0.850±0.018,0.088±0.024,0.953±0.010
test,all,seen,small,all,1432,-0.061±0.019,0.410±0.032,-0.104±0.030,0.593±0.048
test,all,seen,small,underestimated,155,-0.219±0.234,0.628±0.137,-0.321±0.301,0.778±0.152
test,all,seen,small,overestimated,1277,-0.038±0.026,0.495±0.037,-0.071±0.043,0.698±0.039
test,all,seen,medium,all,999,0.203±0.021,0.846±0.024,0.273±0.026,0.949±0.017
test,all,seen,medium,underestimated,555,0.285±0.036,0.834±0.041,0.409±0.042,0.935±0.036
test,all,seen,medium,overestimated,443,0.056±0.086,0.920±0.023,0.055±0.121,0.983±0.009
test,all,seen,big,all,1601,0.127±0.015,0.939±0.005,0.164±0.021,0.992±0.001
test,all,seen,big,underestimated,873,0.269±0.018,0.896±0.010,0.377±0.019,0.978±0.004
test,all,seen,big,overestimated,727,-0.014±0.021,0.969±0.002,-0.074±0.027,0.997±0.000
test,all,unseen,all,all,959,0.038±0.068,0.745±0.032,0.045±0.095,0.886±0.029
test,all,unseen,all,underestimated,368,0.130±0.055,0.828±0.041,0.167±0.064,0.939±0.020
test,all,unseen,all,overestimated,591,-0.026±0.105,0.713±0.039,-0.047±0.147,0.859±0.036
test,all,unseen,small,all,333,0.035±0.074,0.406±0.024,0.037±0.130,0.587±0.024
test,all,unseen,small,underestimated,16,-0.305±0.262,0.595±0.157,-0.441±0.271,0.751±0.133
test,all,unseen,small,overestimated,317,0.054±0.080,0.443±0.048,0.065±0.145,0.632±0.049
test,all,unseen,medium,all,239,0.218±0.099,0.463±0.074,0.283±0.143,0.588±0.075
test,all,unseen,medium,underestimated,116,0.316±0.162,0.647±0.186,0.408±0.204,0.751±0.186
test,all,unseen,medium,overestimated,122,0.102±0.247,0.602±0.136,0.130±0.317,0.703±0.145
test,all,unseen,big,all,386,0.217±0.067,0.752±0.050,0.309±0.089,0.878±0.044
test,all,unseen,big,underestimated,235,0.303±0.097,0.700±0.085,0.431±0.125,0.831±0.074
test,all,unseen,big,overestimated,151,0.084±0.129,0.851±0.048,0.102±0.199,0.952±0.019
test,seen,all,all,all,4610,0.054±0.006,0.883±0.010,0.065±0.009,0.969±0.005
test,seen,all,all,underestimated,1835,0.080±0.036,0.933±0.007,0.091±0.054,0.990±0.002
test,seen,all,all,overestimated,2775,0.050±0.025,0.851±0.017,0.061±0.035,0.953±0.009
test,seen,all,small,all,1575,-0.052±0.016,0.411±0.026,-0.092±0.025,0.596±0.039
test,seen,all,small,underestimated,167,-0.229±0.237,0.620±0.124,-0.340±0.307,0.773±0.148
test,seen,all,small,overestimated,1408,-0.028±0.021,0.493±0.032,-0.058±0.031,0.696±0.035
test,seen,all,medium,all,1162,0.220±0.016,0.818±0.023,0.297±0.021,0.937±0.017
test,seen,all,medium,underestimated,635,0.310±0.033,0.820±0.034,0.440±0.041,0.931±0.030
test,seen,all,medium,overestimated,526,0.090±0.060,0.880±0.029,0.104±0.073,0.963±0.022
test,seen,all,big,all,1873,0.141±0.005,0.916±0.009,0.186±0.007,0.982±0.007
test,seen,all,big,underestimated,1032,0.272±0.014,0.875±0.019,0.383±0.018,0.967±0.013
test,seen,all,big,overestimated,841,-0.003±0.007,0.959±0.008,-0.054±0.016,0.995±0.002
test,seen,seen,all,all,4032,0.066±0.014,0.886±0.010,0.083±0.020,0.970±0.006
test,seen,seen,all,underestimated,1584,0.089±0.035,0.942±0.007,0.107±0.052,0.993±0.002
test,seen,seen,all,overestimated,2448,0.068±0.018,0.850±0.018,0.088±0.024,0.953±0.010
test,seen,seen,small,all,1432,-0.061±0.019,0.410±0.032,-0.104±0.030,0.593±0.048
test,seen,seen,small,underestimated,155,-0.219±0.234,0.628±0.137,-0.321±0.301,0.778±0.152
test,seen,seen,small,overestimated,1277,-0.038±0.026,0.495±0.037,-0.071±0.043,0.698±0.039
test,seen,seen,medium,all,999,0.203±0.021,0.846±0.024,0.273±0.026,0.949±0.017
test,seen,seen,medium,underestimated,555,0.285±0.036,0.834±0.041,0.409±0.042,0.935±0.036
test,seen,seen,medium,overestimated,443,0.056±0.086,0.920±0.023,0.055±0.121,0.983±0.009
test,seen,seen,big,all,1601,0.127±0.015,0.939±0.005,0.164±0.021,0.992±0.001
test,seen,seen,big,underestimated,873,0.269±0.018,0.896±0.010,0.377±0.019,0.978±0.004
test,seen,seen,big,overestimated,727,-0.014±0.021,0.969±0.002,-0.074±0.027,0.997±0.000
test,seen,unseen,all,all,578,-0.004±0.093,0.862±0.029,-0.019±0.144,0.954±0.019
test,seen,unseen,all,underestimated,250,0.034±0.105,0.897±0.048,0.008±0.147,0.972±0.019
test,seen,unseen,all,overestimated,327,-0.085±0.151,0.850±0.032,-0.106±0.215,0.941±0.020
test,seen,unseen,small,all,143,0.044±0.165,0.442±0.073,0.055±0.195,0.609±0.080
test,seen,unseen,small,underestimated,12,-0.030±0.476,0.458±0.346,-0.015±0.577,0.560±0.403
test,seen,unseen,small,overestimated,131,0.077±0.220,0.555±0.067,0.108±0.284,0.737±0.042
test,seen,unseen,medium,all,163,0.320±0.132,0.665±0.168,0.394±0.159,0.802±0.169
test,seen,unseen,medium,underestimated,80,0.453±0.104,0.848±0.076,0.573±0.148,0.939±0.033
test,seen,unseen,medium,overestimated,82,0.270±0.226,0.766±0.103,0.323±0.293,0.864±0.093
test,seen,unseen,big,all,271,0.194±0.044,0.828±0.061,0.272±0.066,0.932±0.041
test,seen,unseen,big,underestimated,158,0.304±0.097,0.791±0.099,0.423±0.138,0.908±0.062
test,seen,unseen,big,overestimated,113,0.023±0.111,0.831±0.077,0.022±0.204,0.928±0.048
test,unseen,all,all,all,381,0.209±0.070,0.581±0.061,0.297±0.104,0.741±0.069
