data_type,structure_category,tree_category,time_category,prediction_category,size,mse,mape
test,seen,all,big,overestimated,841,3.184±2.242,0.029±0.004
test,seen,seen,all,all,4032,0.520±0.046,7.996±1.394
test,seen,seen,all,underestimated,1584,0.622±0.096,0.106±0.014
test,seen,seen,all,overestimated,2448,0.453±0.056,13.149±2.482
test,seen,seen,small,all,1432,0.021±0.005,22.383±3.880
test,seen,seen,small,underestimated,155,0.001±0.001,0.354±0.110
test,seen,seen,small,overestimated,1277,0.024±0.005,25.001±4.022
test,seen,seen,medium,all,999,0.027±0.008,0.146±0.016
test,seen,seen,medium,underestimated,556,0.035±0.018,0.162±0.030
test,seen,seen,medium,overestimated,443,0.018±0.004,0.129±0.017
test,seen,seen,big,all,1601,1.272±0.099,0.025±0.001
test,seen,seen,big,underestimated,874,1.102±0.159,0.025±0.002
test,seen,seen,big,overestimated,727,1.486±0.259,0.024±0.002
test,seen,unseen,all,all,578,91.001±83.626,11.982±2.171
test,seen,unseen,all,underestimated,251,184.042±183.765,0.205±0.037
test,seen,unseen,all,overestimated,328,13.689±6.284,21.349±5.169
test,seen,unseen,small,all,144,14.673±17.998,49.925±16.081
test,seen,unseen,small,underestimated,12,0.002±0.002,0.416±0.310
test,seen,unseen,small,overestimated,131,15.889±19.627,57.362±24.363
test,seen,unseen,medium,all,163,3.591±6.778,0.465±0.403
test,seen,unseen,medium,underestimated,80,0.173±0.063,0.248±0.079
test,seen,unseen,medium,overestimated,83,7.291±14.104,0.695±0.824
test,seen,unseen,big,all,272,179.657±168.265,0.115±0.025
test,seen,unseen,big,underestimated,158,292.549±293.586,0.150±0.046
test,seen,unseen,big,overestimated,114,12.864±12.285,0.059±0.016
test,unseen,all,all,all,381,198.700±87.658,52.014±31.312
test,unseen,all,all,underestimated,117,475.299±222.818,0.409±0.071
test,unseen,all,all,overestimated,264,83.892±61.466,78.109±53.051
test,unseen,all,small,all,190,18.798±12.665,112.938±87.200
test,unseen,all,small,underestimated,4,0.001±0.001,0.335±0.141
test,unseen,all,small,overestimated,186,19.177±12.936,114.669±87.634
test,unseen,all,medium,all,76,2.852±1.495,1.650±1.036
test,unseen,all,medium,underestimated,36,1.816±1.522,0.489±0.136
test,unseen,all,medium,overestimated,40,3.716±2.853,2.492±1.815
test,unseen,all,big,all,115,618.802±261.166,0.309±0.021
test,unseen,all,big,underestimated,77,727.331±360.941,0.359±0.048
test,unseen,all,big,overestimated,38,440.372±399.104,0.213±0.147
test,unseen,seen,all,all,0,0.000±0.000,0.000±0.000
test,unseen,seen,all,underestimated,0,0.000±0.000,0.000±0.000
test,unseen,seen,all,overestimated,0,0.000±0.000,0.000±0.000
test,unseen,seen,small,all,0,0.000±0.000,0.000±0.000
test,unseen,seen,small,underestimated,0,0.000±0.000,0.000±0.000
test,unseen,seen,small,overestimated,0,0.000±0.000,0.000±0.000
